"","operator","ship_type_ihs","n"
"268","Meritshipping Co Ltd","Bulk Carrier",1
"269","Millennium Maritime Inc","Tug",1
"270","Minamoto Kisen Corp Ltd","Bulk Carrier",1
"271","Minerva Marine Inc","Chemical/Products Tanker",1
"272","Minerva Marine Inc","Crude Oil Tanker",1
"273","Misuga Kaiun Co Ltd","Bulk Carrier",1
"274","Mitsubishi Ore Transport Co","Bulk Carrier",2
"275","Mitsubishi Ore Transport Co","Wood Chips Carrier",2
"276","Mitsui OSK Lines Ltd","Bulk Carrier",5
"277","Mitsui OSK Lines Ltd","Vehicles Carrier",27
"278","MMSL Pte Ltd","Bulk Carrier",1
"279","MOL Chemical Tankers Pte Ltd","Chemical Tanker",1
"280","MOL Chemical Tankers Pte Ltd","Chemical/Products Tanker",11
"281","Monterey Bay Aquarium Research","Research Survey Vessel",1
"282","Moore K","Yacht",2
"283","MSC Mediterranean Shipping Co","Container Ship (Fully Cellular)",53
"284","MTM Ship Management Pte Ltd","Bulk Carrier",2
"285","MUR Shipping BV","Bulk Carrier",1
"286","MX Bulk Ltd","Bulk Carrier",1
"287","NAT Chartering Ltd","Crude Oil Tanker",2
"288","Navarone SA","Bulk Carrier",1
"289","Navig8 Bulk Ultra8 Pool","Bulk Carrier",1
"290","Navig8 Chemical Alta8 Pool","Chemical/Products Tanker",9
"291","Navig8 Chemical Chronos8 Pool","Chemical/Products Tanker",2
"292","Navig8 Chemical Delta8 Pool","Chemical/Products Tanker",1
"293","Navig8 Chemical Stainless8","Chemical/Products Tanker",5
"294","Navig8 LR8 Pool","Crude/Oil Products Tanker",2
"295","Navig8 MR Tanker Pool","Chemical/Products Tanker",2
"296","Navios Shipmanagement Inc","Bulk Carrier",2
"297","NCL Bahamas Ltd","Passenger/Cruise",3
"298","Neptune Dry Management Co","Bulk Carrier",3
"299","Neptune Line Navigation SA","Vehicles Carrier",1
"300","New Shipping Ltd-LIB","Crude Oil Tanker",2
"301","New Trade Ship Management SA","Bulk Carrier",1
"302","Nissan Motor Car Carrier","Vehicles Carrier",3
"303","Nisshin Shipping Co Ltd","Bulk Carrier",1
"304","Nitta Kisen Kaisha Ltd","Bulk Carrier",1
"305","Noma Shipping Co Ltd","Bulk Carrier",1
"306","Norden A/S Dampskibsselskabet","Bulk Carrier",3
"307","Norden A/S Dampskibsselskabet","Chemical/Products Tanker",1
"308","Nordic Hamburg Shipmgmt GmbH","Bulk Carrier",1
"309","Nordic Womar Pte Ltd","Chemical/Products Tanker",1
"310","Norient Product Pool ApS","Chemical/Products Tanker",2
"311","Norient Product Pool ApS","Products Tanker",1
"312","Norseman Maritime Charters","Fishing Vessel",1
"313","NSB Niederelbe Schiffahrtsges","Container Ship (Fully Cellular)",1
"314","NYK Bulk & Projects Carriers","General Cargo Ship (with Ro-Ro facility)",1
"315","NYK Bulk & Projects Carriers","Heavy Load Carrier",1
"316","NYK Bulk & Projects Carriers","Open Hatch Cargo Ship",1
"317","NYK Line","Bulk Carrier",5
"318","NYK Line","LPG Tanker",1
"319","NYK Line","Vehicles Carrier",55
"320","NYKCOS Car Carrier Co Ltd","Vehicles Carrier",1
"321","Ocean Longevity Shipping","Bulk Carrier",1
"322","Ocean Marine Services LLC","Platform Supply Ship",2
"323","Ocean Network Express Pte Ltd","Container Ship (Fully Cellular)",73
"324","OceanGold Tankers Inc","Chemical/Products Tanker",1
"325","Oceania Cruises Inc","Passenger/Cruise",1
"326","Oceanic Marine Management-IOM","Bulk Carrier",1
"327","Odfjell Tankers AS","Chemical/Products Tanker",1
"328","Offshore Outpost Boat LLC","Fishing Vessel",1
"329","Oldendorff Carriers GmbH & Co","Bulk Carrier",12
"330","Oldendorff Carriers GmbH & Co","Open Hatch Cargo Ship",1
"331","Olympic Shipping & Management","Crude Oil Tanker",2
"332","Olympic Tug & Barge Inc","Articulated Pusher Tug",1
"333","Olympic Tug & Barge Inc","Tug",5
"334","Oman Shipping Co SAOC","Crude Oil Tanker",1
"335","Onward Marine Service Co Ltd","Bulk Carrier",2
"336","Oregon State Univ - CEOAS","Research Survey Vessel",1
"337","Orient Express Lines Inc","Container Ship (Fully Cellular)",1
"338","Orient Overseas Container Line","Container Ship (Fully Cellular)",12
"339","Orion Reederei GmbH & Co KG","Bulk Carrier",1
"340","OSG Ship Management Inc","Chemical/Products Tanker",3
"341","P&F Marine Co Ltd","Bulk Carrier",1
"342","Pacific Basin Shipping HK Ltd","Bulk Carrier",25
"343","Pacific Basin Shipping Ltd","Bulk Carrier",2
"344","Pacific Carriers Ltd","Bulk Carrier",2
"345","Pacific Horizon Fishing LLC","Fishing Vessel",1
"346","Pacific International Lines","Container Ship (Fully Cellular)",11
"347","Pacific Marine Logistics Inc","Yacht",1
"348","Pacific Ship Management Co Ltd","General Cargo Ship (with Ro-Ro facility)",1
"349","Pan Ocean Co Ltd","Chemical/Products Tanker",2
"350","Panamax International LLC","Chemical/Products Tanker",1
"351","Panamax International LLC","Crude Oil Tanker",5
"352","Panamax International LLC","Crude/Oil Products Tanker",5
"353","Panamax International LLC","Products Tanker",5
"354","Pantheon Tankers Management","Crude Oil Tanker",3
"355","Parakou Tankers Singapore Pte","Chemical/Products Tanker",1
"356","Pasha Hawaii Holdings LLC","Container Ship (Fully Cellular)",4
"357","Pasha Hawaii Holdings LLC","Ro-Ro Cargo Ship",1
"358","Patricia Ship Holding SA","Vehicles Carrier",1
"359","PCL Shipping Pte Ltd","Bulk Carrier",2
"360","Penfield Marine LLC","Crude/Oil Products Tanker",6
"361","Perseveranza SpA di Navigazion","Chemical/Products Tanker",1
"362","PETROBRAS","Crude Oil Tanker",1
"363","Pettinger DW","Fishing Vessel",1
"364","Pettittco Ltd","Yacht",1
"365","Phillips 66 Co","Crude/Oil Products Tanker",1
"366","Phoenix Reisen GmbH","Passenger/Cruise",1
"367","Pioneer Marine Advisers Pte","Bulk Carrier",2
"368","Pleiades Shipping Agents SA","Chemical/Products Tanker",1
"369","Pleiades Shipping Agents SA","Crude Oil Tanker",3
"370","Pluto Partners Co Ltd","Bulk Carrier",1
"371","Pola Maris NV","Bulk Carrier",1
"372","Polar Tankers Inc","Crude Oil Tanker",3
"373","PONANT","Passenger/Cruise",1
"374","Poseidon SA","Chemical/Products Tanker",1
"375","Precious Shipping PCL","Bulk Carrier",3
"376","Primebulk Shipmanagement Ltd","Bulk Carrier",2
"377","Princess Cruise Lines Ltd","Passenger/Cruise",9
"378","Product Shipping & Trading SA","Crude/Oil Products Tanker",1
"379","Quogue LLC","Yacht",1
"380","RAS I LLC","Yacht",1
"381","Rebel Ltd","Yacht",1
"382","Regent Seven Seas Cruises Inc","Passenger/Cruise",1
"383","Richmond Tanker LLC","Products Tanker",1
"384","Rickmers-Linie","General Cargo Ship",2
"385","Rudolf A Oetker A/S & Co KG","Bulk Carrier",2
"386","Safe Bulkers Inc","Bulk Carrier",2
"387","Saga Welco AS","Open Hatch Cargo Ship",11
"388","Samartzis Maritime Enterprises","Bulk Carrier",1
"389","Samos Steamship Co","Chemical/Products Tanker",1
"390","San Diego Towing & Marine","Tug",2
"391","San Francisco Bay Ferry","Passenger Ship",1
"392","Sanko Steamship Co Ltd","Bulk Carrier",1
"393","Sankyo Commercial","Bulk Carrier",2
"394","Santoku Senpaku Co Ltd","Bulk Carrier",2
"395","Sato Steamship Co Ltd","Bulk Carrier",2
"396","Sato Steamship Co Ltd","Wood Chips Carrier",2
"397","Sause Bros Inc","Tug",11
"398","SCF Management Services Dubai","Chemical/Products Tanker",1
"399","Scorpio Carriers Ltd-HK","Bulk Carrier",1
"400","Scorpio Commercial Management","Chemical/Products Tanker",1
"401","Scorpio MR Pool Ltd","Chemical/Products Tanker",7
"402","Scripps Institution SIO","Research Survey Vessel",1
"403","Seabourn Cruise Line Ltd","Passenger/Cruise",1
"404","Seabulk Fleet Management LLC","Vehicles Carrier",2
"405","Seabulk Towing Inc","Tug",1
"406","Sealestial Navigation Co","Bulk Carrier",1
"407","Seastar Chartering Ltd","Bulk Carrier",1
"408","Seastar Shipmanagement Ltd","Bulk Carrier",1
"409","Seraphic Maritime SA","General Cargo Ship",1
"410","Seven Seas Carriers AS","Bulk Carrier",1
"411","Shandong Shipping Corp","Bulk Carrier",1
"412","Shanghai Salvage Co","Work/Maintenance Pontoon, non propelled",1
"413","Shanghai Tucson Roy Shp Mgmt","Crude Oil Tanker",1
"414","Shih Wei Navigation Co Ltd","Bulk Carrier",2
"415","Shikishima Kisen KK","Bulk Carrier",2
"416","Shikishima Kisen KK","Wood Chips Carrier",1
"417","Shunzan Kaiun KK","Bulk Carrier",1
"418","Sidra Ship Management Inc","Products Tanker",2
"419","Siem Car Carriers AS","Vehicles Carrier",2
"420","Sincere Industrial Corp","Open Hatch Cargo Ship",1
"421","Sinokor Bulk Pte Ltd","Bulk Carrier",1
"422","Sinokor Maritime Co Ltd","Chemical/Products Tanker",3
"423","Sinokor Merchant Marine Co Ltd","Container Ship (Fully Cellular)",1
"424","Sinokor Petrochemical Co Ltd","Chemical/Products Tanker",1
"425","SM Line Corp","Container Ship (Fully Cellular)",8
"426","Snow Camellia Maritime Co Ltd","Wood Chips Carrier",1
"427","So Cal Ship Services","Crew/Supply Vessel",1
"428","So Cal Ship Services","Pollution Control Vessel",1
"429","So Cal Ship Services","Utility Vessel",1
"430","Soki Kisen KK","Bulk Carrier",1
"431","Spar Shipping AS","Bulk Carrier",1
"432","Spliethoff's Bevrachtings BV","General Cargo Ship",1
"433","SPS Maritime Ltd","Research Survey Vessel",1
"434","ST Shipping & Transport Pte","Crude/Oil Products Tanker",3
"435","Star Reefers Pool Inc","Refrigerated Cargo Ship",3
"436","Starbulk SA","Bulk Carrier",3
"437","STASCO","Chemical/Products Tanker",3
"438","Stealth Maritime Corp SA","Chemical/Products Tanker",4
"439","Stena Sonangol Suezmax Pool","Crude Oil Tanker",3
"440","Stena Sonangol Suezmax Pool","Crude/Oil Products Tanker",1
"441","Stolt Tankers BV","Chemical/Products Tanker",4
"442","Straits Tankers Pte Ltd","Products Tanker",2
"443","Sucden Armateurs Sarl","Bulk Carrier",2
"444","Sugahara Kisen KK","Bulk Carrier",1
"445","Suisse-Atlantique","Bulk Carrier",1
"446","Sun Enterprises Ltd-LIB","Crude/Oil Products Tanker",1
"447","Sun Oil Co of Pennsylvania","Crude Oil Tanker",1
"448","Super-Eco Bulkers Management","Bulk Carrier",1
"449","Sverre Farstad & Co AS","Platform Supply Ship",2
"450","SwissMarine Services SA","Bulk Carrier",4
"451","SYM EURL","Yacht",1
"452","Ta-Tong Marine Co Ltd","Bulk Carrier",1
"453","Tabuchi Kaiun Co Ltd","Chemical Tanker",1
"454","Tachibana Kaiun YK","Bulk Carrier",1
"455","Taiheiyo Kisen","Bulk Carrier",1
"456","Taiwan Navigation Co Ltd","Bulk Carrier",2
"457","Tankers UK Agencies Ltd","Crude Oil Tanker",4
"458","Tankerska Plovidba dd","Bulk Carrier",1
"459","Target Marine SA","Bulk Carrier",1
"460","Taylor Maritime HK Ltd","Open Hatch Cargo Ship",3
"461","Technomar Shipping Inc-LIB","Bulk Carrier",1
"462","Teekay Chartering Ltd","Crude Oil Tanker",2
"463","Teekay Chartering Ltd","Crude/Oil Products Tanker",1
"464","Temple Marine Ltd","Yacht",1
"465","Tianjin New Legend Shipping Co","General Cargo Ship",1
"466","Toko Kaiun Kaisha Ltd","Open Hatch Cargo Ship",3
"467","Toner Technical & Marine Ltd","Research Survey Vessel",1
"468","TORM A/S","Chemical/Products Tanker",14
"469","TORM A/S","Crude/Oil Products Tanker",1
"470","TORM A/S","Products Tanker",1
"471","Toyo Kaiun Co Ltd","Wood Chips Carrier",1
"472","Toyofuji Shipping Co Ltd","Vehicles Carrier",1
"473","TradeWinds Towing LLC","Tug",2
"474","Trafigura Maritime Logistics","Chemical/Products Tanker",5
"475","Trafigura Maritime Logistics","Crude Oil Tanker",2
"476","Transocean Maritime Agencies","Bulk Carrier",2
"477","Triton Navigation BV","Vehicles Carrier",1
"478","TS Lines Co Ltd","Container Ship (Fully Cellular)",2
"479","Tsakos Commerce SA","Crude/Oil Products Tanker",1
"480","Tsakos Shipping & Trading SA","Crude Oil Tanker",2
"481","Tsakos Shipping & Trading SA","Crude/Oil Products Tanker",1
"482","Tsurumi Kisen Co Ltd","Bulk Carrier",1
"483","TVI Ltd","Yacht",1
"484","Ultrabulk A/S","Bulk Carrier",7
"485","Uni Ships & Management Ltd","Bulk Carrier",1
"486","Unico Logistics Co Ltd","Bulk Carrier",1
"487","Uniper Global Commodities SE","Bulk Carrier",1
"488","Unisea Shipping Ltd","Crude Oil Tanker",4
"489","Unison Marine Corp","Bulk Carrier",1
"490","United Ocean Ship Mgmt Pte Ltd","Vehicles Carrier",1
"491","United States Govt","Salvage Ship",1
"492","United States Govt Coast Guard","Buoy Tender",3
"493","United States Govt Coast Guard","Icebreaker",1
"494","United States Govt MSC","Logistics Vessel (Naval Ro-Ro Cargo)",2
"495","United States Govt MSC","Replenishment Dry Cargo Vessel",1
"496","United States Govt MSC","Replenishment Tanker",1
"497","United States Govt NOAA Fish","Fishery Research Vessel",1
"498","United States Govt NOAA Marine","Fishery Research Vessel",1
"499","United States Govt NOAA Marine","Research Survey Vessel",4
"500","UPT United Product Tankers","Chemical/Products Tanker",1
"501","US Ocean LLC","General Cargo Ship",1
"502","Vane Line Bunkering Inc","Articulated Pusher Tug",1
"503","Vane Line Bunkering Inc","Pusher Tug",1
"504","Vane Line Bunkering Inc","Tug",3
"505","Velvet Maritime Co","Bulk Carrier",1
"506","Vessel Safety Management","Yacht",1
"507","Victoria Barco SA","Wood Chips Carrier",1
"508","Vietnam Gas & Chemicals","Chemical/Products Tanker",1
"509","Viken Shipping AS","Crude Oil Tanker",1
"510","WA Tankers AS","Chemical/Products Tanker",1
"511","Wah Kwong Ship Management HK","Crude Oil Tanker",1
"512","Wallem Commercial Services Ltd","Chemical/Products Tanker",1
"513","Wallenius Wilhelmsen Logistics","Vehicles Carrier",29
"514","Wan Hai Lines Ltd","Container Ship (Fully Cellular)",1
"515","Westar Marine Services","Tug",1
"516","Western Towboat Co","Tug",2
"517","Wilhelmsen Ship Mgmt Sdn Bhd","Bulk Carrier",1
"518","Wilmar International Ltd","Bulk Carrier",1
"519","WIND BV","General Cargo Ship",1
"520","Wisdom Marine Lines SA","Bulk Carrier",1
"521","Wisdom Marine Lines SA","General Cargo Ship",1
"522","Wisdom Marine Lines SA","General Cargo Ship (with Ro-Ro facility)",1
"523","Womar Stainless Pool","Chemical/Products Tanker",1
"524","Woods Hole Oceanographic","Research Survey Vessel",1
"525","World Tankers UK Ltd","Chemical/Products Tanker",1
"526","Ya-Sa Gemi Isletmeciligi","Bulk Carrier",1
"527","Yang Ming Marine Transport","Container Ship (Fully Cellular)",20
"528","YCO SAM","Yacht",1
"529","Zim Integrated Shipping Servs","Container Ship (Fully Cellular)",1
"530","Zurich AG","Bulk Carrier",1
